COMPUTED FEM SOLUTION:
phi[1018] = -1.68929
phi[1019] = -1.66385
phi[1020] = -1.63817
phi[1021] = -1.61226
phi[1022] = -1.58613
phi[1023] = -1.55978
phi[1024] = -1.5332
phi[1025] = -1.50642
phi[1026] = -1.47942
phi[1027] = -1.45221
phi[1028] = -1.4248
phi[1029] = -1.39718
phi[1030] = -1.36936
phi[1031] = -1.34133
phi[1032] = -1.31311
phi[1033] = -1.28468
phi[1034] = -1.25606
phi[1035] = -1.22724
phi[1036] = -1.19822
phi[1037] = -1.169
phi[1038] = -1.13959
phi[1039] = -1.10998
phi[1040] = -1.08018
phi[1041] = -1.05017
phi[1042] = -1.01997
phi[1043] = -0.989572
phi[1044] = -0.958974
phi[1045] = -0.928176
phi[1046] = -0.897177
phi[1047] = -0.865976
phi[1048] = -0.834571
phi[1049] = -0.802962
phi[1050] = -0.771146
phi[1051] = -0.739122
phi[1052] = -0.706887
phi[1053] = -0.67444
phi[1054] = -0.641779
phi[1055] = -0.6089
phi[1056] = -0.575801
phi[1057] = -0.54248
phi[1058] = -0.508933
phi[1059] = -0.475156
phi[1060] = -0.441147
phi[1061] = -0.406902
phi[1062] = -0.372416
phi[1063] = -0.337686
phi[1064] = -0.302707
phi[1065] = -0.267473
phi[1066] = -0.231981
phi[1067] = -0.196223
phi[1068] = -0.160195
phi[1069] = -0.12389
phi[1070] = -0.0873004
phi[1071] = -0.0504202
phi[1072] = -0.0132409
phi[1073] = 0.0242457
phi[1074] = 0.0620487
phi[1075] = 0.100178
phi[1076] = 0.138644
phi[1077] = 0.177459
phi[1078] = 0.216634
phi[1079] = 0.256183
phi[1080] = 0.296122
phi[1081] = 0.336467
phi[1082] = 0.377235
phi[1083] = 0.418447
phi[1084] = 0.460125
phi[1085] = 0.502293
phi[1086] = 0.54498
phi[1087] = 0.588217
phi[1088] = 0.632041
phi[1089] = 0.676491
phi[1090] = 0.721617
phi[1091] = 0.767476
phi[1092] = 0.814133
phi[1093] = 0.86167
phi[1094] = 0.910185
phi[1095] = 0.959803
phi[1096] = 1.01068
phi[1097] = 1.06302
phi[1098] = 1.11708
phi[1099] = 1.1732
phi[1100] = 1.23172
phi[1101] = 1.2929
phi[1102] = 1.35636
phi[1103] = 1.42018
phi[1104] = 1.47399
phi[1105] = 1.5272
phi[1106] = 1.57904
phi[1107] = 1.62948
phi[1108] = 1.67871
phi[1109] = 1.72691
phi[1110] = 1.77426
phi[1111] = 1.82089
phi[1112] = 1.8669
phi[1113] = 1.91238
phi[1114] = 1.9574
phi[1115] = 2.00201
phi[1116] = 2.04626
phi[1117] = 2.0902
phi[1118] = 2.13384
phi[1119] = 2.17723
phi[1120] = 2.22038
phi[1121] = 2.26332
phi[1122] = 2.30607
phi[1123] = 2.34864
phi[1124] = 2.39105
phi[1125] = 2.4333
phi[1126] = 2.47542
phi[1127] = 2.51741
phi[1128] = 2.55928
phi[1129] = 2.60105
phi[1130] = 2.6427
phi[1131] = 2.68427
phi[1132] = 2.72574
phi[1133] = 2.76714
phi[1134] = 2.80845
phi[1135] = 2.84969
phi[1136] = 2.89087
phi[1137] = 2.93198
phi[1138] = 2.97303
phi[1139] = 3.01402
phi[1140] = 3.05496
phi[1141] = 3.09586
phi[1142] = 3.1367
phi[1143] = 3.1775
phi[1144] = 3.21826
phi[1145] = 3.25898
phi[1146] = 3.29966
